Date,Patients_per_day,Temp_Max,Temp_Min,Temp_Mean,Precipitation,Snowfall,Day_of_week_sin,Day_of_week_cos,Month_sin,Month_cos,Day_of_month_sin,Day_of_month_cos,Day_of_week_1,Day_of_week_2,Day_of_week_3,Day_of_week_4,Day_of_week_5,Day_of_week_6,Weekend,patients_3d_avg,patients_3d_std,patients_14d_avg,patients_14d_std,patients_30d_avg,patients_30d_std,annual_sin_1,annual_cos_1,annual_sin_2,annual_cos_2,annual_sin_3,annual_cos_3,weekly_sin_1,weekly_cos_1,weekly_sin_2,weekly_cos_2,half_week_sin_1,half_week_cos_1,short_cycle_sin_1,short_cycle_cos_1,patients_lag_1,patients_lag_2,patients_lag_3,patients_lag_7,patients_lag_14,patients_lag_21,patients_lag_28,patients_change_1d,patients_change_7d
2022-06-21,71,23.0,8.1,17.2,0.0,0.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,-0.7907757369376986,-0.6121059825476627,True,False,False,False,False,False,0,60.333333333333336,11.015141094572197,58.42857142857143,10.165660792130495,54.892857142857146,11.932958671071589,0.4632579225674917,0.88622350294858,0.8211001178128892,0.5707841943569036,0.992098522791769,0.12546123335273648,-9.797174393178826e-16,1.0,-1.959434878635765e-15,1.0,-1.959434878635765e-15,1.0,0.8878852184023753,0.46006503773115204,73.0,55.0,53.0,75.0,50.0,34.0,43.0,18.0,25.0
2022-06-22,66,21.1,14.8,18.0,1.3,0.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,-0.8978045395707417,-0.44039415155763423,False,True,False,False,False,False,0,66.33333333333333,9.865765724632489,59.92857142857143,10.373518694728899,55.44827586206897,12.093641206661788,0.4784338202547012,0.8781236129591848,0.8402480696078469,0.5422021592729844,0.9972495210773451,0.07411742515094437,0.7818314824680291,0.6234898018587344,0.9749279121818241,-0.22252093395631242,0.9749279121818241,-0.22252093395631242,-0.6310879443260533,-0.7757112907044195,71.0,73.0,55.0,55.0,66.0,32.0,57.0,-2.0,-11.0
2022-06-23,44,24.0,13.5,18.8,0.0,0.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,-0.9680771188662041,-0.2506525322587213,False,False,True,False,False,False,0,70.0,3.6055512754639767,59.92857142857143,10.373518694728899,55.8,12.038444165714875,0.49346814167723735,0.8697638720650646,0.8584015232918917,0.512978386299228,0.9997451236925734,0.022576263041545485,0.9749279121818246,-0.22252093395630992,-0.43388373911754985,-0.9009688679024231,-0.43388373911754985,-0.9009688679024231,0.2697967711570254,0.962917287347799,66.0,71.0,73.0,61.0,49.0,66.0,46.0,-5.0,12.0
2022-06-24,42,27.7,13.5,20.6,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,-0.9987165071710528,-0.05064916883871355,False,False,False,True,False,False,0,60.333333333333336,14.364307617610159,59.57142857142857,10.853672088385462,55.833333333333336,12.00311262313564,0.5083564379375122,0.8611467540480452,0.8755389928586302,0.4831474640149687,0.9995786855478958,-0.029025013321975237,0.4338837391175591,-0.9009688679024187,-0.7818314824680311,0.6234898018587318,-0.7818314824680311,0.6234898018587318,0.13616664909624496,-0.990685946036331,44.0,66.0,71.0,63.0,56.0,65.0,70.0,-22.0,7.0
2022-06-25,63,28.5,14.8,22.4,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,-0.9884683243281114,0.15142777750457667,False,False,False,False,True,False,1,50.666666666666664,13.316656236958783,58.57142857142857,11.810779207762092,55.333333333333336,12.26245554903071,0.5230943033491326,0.8522748088519838,0.8916401947968874,0.45274469960737107,0.9967506498213929,-0.08054900421874167,-0.4338837391175571,-0.9009688679024196,0.7818314824680284,0.6234898018587353,0.7818314824680284,0.6234898018587353,-0.5195839500354318,0.8544194045464897,42.0,44.0,66.0,53.0,51.0,56.0,44.0,-2.0,2.0
2022-06-26,46,29.5,15.1,23.4,0.2,0.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,-0.9377521321470804,0.3473052528448203,False,False,False,False,False,True,1,49.666666666666664,11.59022576714247,59.42857142857143,11.653420004539338,55.9,12.208956576614366,0.5376773767406141,0.8431506618282,0.9066860720977985,0.4218060770826634,0.9912685467787256,-0.13185851571739118,-0.9749279121818234,-0.22252093395631553,0.43388373911756023,-0.9009688679024181,0.43388373911756023,-0.9009688679024181,0.8169698930104404,-0.5766803221148693,63.0,42.0,44.0,55.0,40.0,50.0,57.0,21.0,15.0
2022-06-27,57,31.0,17.5,24.9,0.4,0.0,0.0,1.0,0.49999999999999994,-0.8660254037844387,-0.848644257494751,0.5289640103269624,False,False,False,False,False,False,0,50.333333333333336,11.150485789118484,59.857142857142854,10.974495908221035,55.1,12.038300945530994,0.5521013427459208,0.8337770129585915,0.9206588168102428,0.3903682146763026,0.9831469737221499,-0.1828169249850199,-0.7818314824680284,0.6234898018587354,-0.9749279121818246,-0.22252093395630979,-0.9749279121818246,-0.22252093395630979,-0.9790840876823222,0.20345601305263689,46.0,63.0,42.0,73.0,71.0,34.0,65.0,-17.0,2.0
2022-06-28,65,30.6,16.6,22.4,1.7,0.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,-0.72479278722912,0.6889669190756865,True,False,False,False,False,False,0,55.333333333333336,8.621678104251703,58.857142857142854,10.509022810878294,55.53333333333333,11.85758402249694,0.5663619330814524,0.8241566360566663,0.9335418911179212,0.35846832151248087,0.9724075561219968,-0.23328854407545518,-1.2246467991473533e-15,1.0,-2.4492935982947065e-15,1.0,-2.4492935982947065e-15,1.0,0.9790840876823236,0.20345601305263017,57.0,46.0,63.0,71.0,75.0,50.0,34.0,11.0,-4.0
2022-06-29,66,23.8,15.0,19.7,0.7,0.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,-0.5712682150947924,0.8207634412072763,False,True,False,False,False,False,0,56.0,9.539392014169454,58.142857142857146,9.630537510816966,55.8,11.981019471906675,0.580454927809098,0.8142923779467267,0.945320046913132,0.3261441535642696,0.9590788900341131,-0.28313898122818354,0.781831482468029,0.6234898018587345,0.9749279121818242,-0.22252093395631195,0.9749279121818242,-0.22252093395631195,-0.8169698930104444,-0.5766803221148638,65.0,57.0,46.0,66.0,55.0,66.0,32.0,8.0,11.0
2022-06-30,63,26.2,16.9,21.2,2.1,0.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,-0.3943558551133187,0.9189578116202306,False,False,True,False,False,False,0,62.666666666666664,4.932882862316243,58.92857142857143,9.801603367379668,55.833333333333336,12.008856884739735,0.5943761565849831,0.804187157621448,0.9559793438440766,0.2934339689665273,0.9431964659565866,-0.33223549871590435,0.974927912181824,-0.22252093395631314,-0.4338837391175558,-0.9009688679024203,-0.4338837391175558,-0.9009688679024203,0.5195839500354376,0.8544194045464861,66.0,65.0,57.0,44.0,61.0,49.0,66.0,1.0,-17.0
2022-07-01,80,24.9,18.6,20.9,14.6,0.0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,0.0,1.0,False,False,False,True,False,False,0,64.66666666666667,1.5275252316519352,59.07142857142857,9.848578856591715,56.8,11.33928173848889,0.6081214998935418,0.7938439653781019,0.9655071658143364,0.2603764827344581,0.9248025743285089,-0.38044736628785164,0.43388373911755934,-0.9009688679024186,-0.7818314824680315,0.6234898018587315,-0.7818314824680315,0.6234898018587315,-0.13616664909623769,-0.990685946036332,63.0,66.0,65.0,42.0,63.0,56.0,65.0,-3.0,-21.0
2022-07-02,52,22.3,17.2,19.8,0.7,0.0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.20129852008866006,0.9795299412524945,False,False,False,False,True,False,1,69.66666666666667,9.073771725877462,60.285714285714285,11.309822629559127,58.4,11.10327693164003,0.6216868902665479,0.7832658619336791,0.9738922359149924,0.22701082094141847,0.9039461929224011,-0.42764620926777464,-0.4338837391175569,-0.9009688679024197,0.7818314824680281,0.6234898018587357,0.7818314824680281,0.6234898018587357,-0.2697967711570188,0.9629172873478008,80.0,63.0,66.0,63.0,53.0,51.0,56.0,17.0,10.0
2022-07-03,51,22.4,13.3,18.7,0.0,0.0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0.39435585511331855,0.9189578116202306,False,False,False,False,False,True,1,65.0,14.106735979665881,60.214285714285715,11.362411522401194,57.93333333333333,11.066985177524195,0.6350683134867438,0.7724559775191742,0.981124629771712,0.19337647441020586,0.8806828564301475,-0.47370635037968,-0.9749279121818233,-0.22252093395631578,0.4338837391175606,-0.9009688679024179,0.4338837391175606,-0.9009688679024179,0.631087944326048,-0.7757112907044238,52.0,80.0,63.0,46.0,55.0,40.0,50.0,-28.0,-9.0
2022-07-04,49,21.2,15.0,17.9,2.9,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763,False,False,False,False,False,False,0,61.0,16.462077633154326,59.92857142857143,11.552317687634972,57.46666666666667,11.053890977711262,0.6482618097757122,0.7614175109532997,0.9871957872910085,0.15951325197263655,0.8550745085896932,-0.518505144391157,-0.7818314824680307,0.6234898018587325,-0.974927912181823,-0.2225209339563172,-0.974927912181823,-0.2225209339563172,-0.8878852184023787,0.4600650377311455,51.0,52.0,80.0,57.0,73.0,71.0,34.0,-1.0,-16.0
2022-07-05,56,19.5,13.1,16.3,1.0,0.0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0.72479278722912,0.6889669190756866,True,False,False,False,False,False,0,50.666666666666664,1.5275252316519086,58.214285714285715,11.239891673640132,57.233333333333334,11.159295903302827,0.6612634749656386,0.7501537286959042,0.992098522791769,0.12546123335273648,0.8271893372462497,-0.5619233046832195,-1.4695761589768238e-15,1.0,-2.9391523179536475e-15,1.0,-2.9391523179536475e-15,1.0,0.9976687691905387,-0.06824241336467822,49.0,51.0,52.0,65.0,71.0,75.0,50.0,-2.0,-6.0
2022-07-06,46,20.8,11.8,16.9,0.3,0.0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.8486442574947509,0.5289640103269624,False,True,False,False,False,False,0,52.0,3.6055512754639727,57.142857142857146,10.625492878031537,57.43333333333333,11.078663349393526,0.6740694616546162,0.7386679638813748,0.9958270335100595,0.09126072172931188,0.7971015927871943,-0.6038452208771035,0.7818314824680289,0.6234898018587347,0.9749279121818243,-0.22252093395631148,0.9749279121818243,-0.22252093395631148,-0.9422609221188231,-0.33487961217097884,56.0,49.0,51.0,66.0,66.0,55.0,66.0,7.0,0.0
2022-07-07,64,18.9,13.1,14.8,7.0,0.0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203,False,False,True,False,False,False,0,50.333333333333336,5.131601439446873,55.714285714285715,10.687365448031628,57.833333333333336,10.399215266591971,0.6866759803451553,0.726963615332308,0.998376906467142,0.056952196034039754,0.7648913904341226,-0.6441592666722685,0.9749279121818255,-0.22252093395630598,-0.4338837391175425,-0.9009688679024266,-0.4338837391175425,-0.9009688679024266,0.73083596427812,0.6825531432186585,46.0,56.0,49.0,63.0,44.0,61.0,49.0,-10.0,19.0
